Inventar-ID;Inventar-Nr;Inventar-Bezeichnung;Serien-Nr.;Anlagenbezeichnung/EMTEC;Typ / Modell;Materialbez.;Basisstelle;Einsatzstelle;letzte Stelle;Fahrzeug;Besitz;Anschaffung;Ausmusterungsdatum;Anschaffungskosten;Gehört zu Inventar-Nr;Lagerort;Anlagenkonto;Reservierung bis;Bemerkung;Barcode;Aktiv;Aktives Produkt;Hat Bild;Örtlicher Bereich;Haus;Ebene;Raum;Baujahr;Garantie von;Garantie bis;Aktennummer;Neubeschaff.preis;Abschreibungssatz;Monatsabschreibung;Restwert;abgeschrieben am;Instandhaltungsgrenze Jahr;Instandhaltungsgrenze;Instandhaltungskosten;Nutzungsdauer;technischer Nutzungssatz;technische Monatsabschreibung;technischer Restwert;technisch abgeschrieben am;Spannung;Strom;Leistung;Messfunktion vorhanden;IT fähig;CE Kennzeichen vorh.;Schutzart IP-Code;Anzahl Anschlüsse;Anschlussleitung fest;Anlageort fest;Gehört zu;Zuordnung;man. Benutzer;Benutzer;Änderungsdatum/Zeit;man. Änderungsdatum;Hersteller;Logistik-Status;Anleitung vorhanden;Kundendienst;Technik-Status;Technik-Anlage;MPG Klasse;Lieferant;MP Verantwortlicher;MP Beauftragter;Verantwortlicher §5;Geräteklassifikation VDE;Kostenstelle;Kostenart;Konto;Fachbereich;CAD-ID;Inventar-Garantie (Monate);Letzter Raum (Barcode);Letzter Raum (Nr);letzter Raum;Letzter Raum (Zeitstempel);Typ/Modell Freitext;Netzwerknummer;IP-Adresse;Budget;Anzahl Aufträge;Eingabenummer;Fremd-ID;Anzahl Tätigkeiten;Anzahl Termine;Anzahl Verträge;Länge;Breite;Höhe;Gewicht;Farbe;Fläche;Zusammensetzung;Inbetriebnahmedatum;End-Of-Service;Risikoklasse;EMTEC-Bezeichnung;EMTEC-Code;Verfügbarkeitsstufe;Investitionsnummer (Zugang);Investitionsnummer (Abgang);Projekt;Abrechnungscode;Geplanter Hersteller;Geplanter Typ;Ersetzt durch;1. Erneuerung;2. Erneuerung;Erneuerung (Verlängerung);1. Investitionssumme;2. Investitionssumme;Investitionssumme (Verlängerung);Bereitstellungspauschale (Normal);Bereitstellungspauschale (Verlängerung);Bewirtschaftungspauschale (Normal);Bewirtschaftungspauschale (Verlängerung);Verbrauchsmaterialpauschale Normal;Verbrauchsmaterialpauschale Verlängerung;Investitionsantragsnummer;Hauptgerät;Sammelposition Anzahl;Softwareversion;Leistung A;Leistung B;Leistung C
5366;5015048;ZLA - 047;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof NZ3;;;;;0;;;;;;05015048;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5367;5015049;ZLA - 048;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof M3;;;;;0;;;;;;05015049;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5368;5015050;ZLA - 049;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof NZ1;;;;;0;;;;;;05015050;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1531;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5369;5015051;ZLA - 050;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof M3;;;;;0;;;;;;05015051;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5370;5015052;ZLA - 051;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof K2;;;;;0;;;;;;05015052;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5371;5015053;ZLA - 052;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof NZ2;;;;;0;;;;;;05015053;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1884;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5372;5015054;ZLA - 053;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof F2;;;;;0;;;;;;05015054;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1831;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5373;5015055;ZLA - 054;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof F1;;;;;0;;;;;;05015055;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1832;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5374;5015056;ZLA - 055;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof HNO/A;;;;;0;;;;;;05015056;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1532;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5375;5015057;ZLA - 056;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof NZ1;;;;;0;;;;;;05015057;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1876;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
